CD_CLI,LB_CLI,LB_CLI_ALT,DT_CRE,DT_CLO,CD_CTY_DOM,CD_CTY_NAT,CD_MNG_REL,CD_CLI_CAT,CD_CCY
CLI001,Jean Dupont,DUPONT Jean,2018-03-15,,CH,FR,RM001,PRIVATE,CHF
CLI002,Maria Garcia,GARCIA Maria,2019-07-22,,ES,ES,RM002,RETAIL,EUR
CLI003,Hans Mueller,MUELLER Hans,2017-01-10,,CH,CH,RM001,PRIVATE,CHF
CLI004,Sophie Bernard,BERNARD Sophie,2020-11-05,,FR,FR,RM003,PRIVATE,EUR
CLI005,James Wilson,WILSON James,2016-06-30,,GB,GB,RM002,PRIVATE,GBP
CLI006,Anna Rossi,ROSSI Anna,2021-02-14,,IT,IT,RM003,RETAIL,EUR
CLI007,Peter Schneider,SCHNEIDER Peter,2015-09-01,2023-12-31,CH,DE,RM001,PRIVATE,CHF
CLI008,Isabelle Laurent,LAURENT Isabelle,2022-04-18,,FR,FR,RM002,RETAIL,EUR
CLI009,Thomas Keller,KELLER Thomas,2014-05-20,,CH,CH,RM001,PRIVATE,CHF
CLI010,Sarah Johnson,JOHNSON Sarah,2023-01-09,,US,US,RM003,PRIVATE,USD
