CD_PRS,LB_PRS,YN_PHP,DT_BTH,DT_DTH,CD_GND,CD_PRS_TYP,CD_CTY_NAT,CD_CTY_DOM
PRS001,Jean Dupont,Y,1975-03-15,,M,INDIVIDUAL,FR,CH
PRS002,Maria Garcia,Y,1982-07-22,,F,INDIVIDUAL,ES,ES
PRS003,Hans Mueller,Y,1968-01-10,,M,INDIVIDUAL,CH,CH
PRS004,Sophie Bernard,Y,1990-11-05,,F,INDIVIDUAL,FR,FR
PRS005,James Wilson,Y,1955-06-30,,M,INDIVIDUAL,GB,GB
PRS006,Anna Rossi,Y,1995-02-14,,F,INDIVIDUAL,IT,IT
PRS007,Peter Schneider,Y,1960-09-01,,M,INDIVIDUAL,DE,CH
PRS008,Isabelle Laurent,Y,1988-04-18,,F,INDIVIDUAL,FR,FR
PRS009,Thomas Keller,Y,1972-05-20,,M,INDIVIDUAL,CH,CH
PRS010,Sarah Johnson,Y,1985-01-09,,F,INDIVIDUAL,US,US
PRS011,Valorys SA,,,,,,CH,CH
PRS012,Valorys Asset Management SA,,,,,,CH,CH
