CD_PTF,LB_PTF,LB_PTF_ALT,DT_CRE,DT_CLO,CD_CLI,CD_CCY,CD_PRF,CD_MNG,CD_MNG_EXT,CD_AGN,CD_ENT,CD_BUU
PTF001,Portefeuille Croissance CHF,DUPONT - Growth CHF,2018-03-15,,CLI001,CHF,GROWTH,RM001,,AGN001,ENT001,BUU001
PTF002,Portefeuille Equilibre USD,DUPONT - Balanced USD,2019-06-01,,CLI001,USD,BALANCED,RM001,MNG_EXT001,AGN001,ENT001,BUU001
PTF003,Portefeuille Retail EUR,GARCIA - Retail,2019-07-22,,CLI002,EUR,BALANCED,RM002,,AGN002,ENT001,BUU002
PTF004,Portefeuille Conservateur CHF,MUELLER - Conserv,2017-01-10,,CLI003,CHF,CONSERV,RM001,,AGN001,ENT001,BUU001
PTF005,Portefeuille Croissance CHF,MUELLER - Growth,2020-05-20,,CLI003,CHF,GROWTH,RM001,MNG_EXT002,,ENT001,BUU001
PTF006,Portefeuille Equilibre EUR,BERNARD - Balanced,2020-11-05,,CLI004,EUR,BALANCED,RM003,,AGN002,ENT001,BUU002
PTF007,Portefeuille Croissance GBP,WILSON - Growth,2016-06-30,,CLI005,GBP,GROWTH,RM002,MNG_EXT001,,ENT001,BUU002
PTF008,Portefeuille Retail EUR,ROSSI - Retail,2021-02-14,,CLI006,EUR,BALANCED,RM003,,AGN002,ENT001,BUU002
PTF009,Portefeuille Privé CHF,SCHNEIDER - Private,2015-09-01,2023-12-31,CLI007,CHF,CONSERV,RM001,,AGN001,ENT001,BUU001
PTF010,Portefeuille Retail EUR,LAURENT - Retail,2022-04-18,,CLI008,EUR,BALANCED,RM002,,AGN002,ENT001,BUU002
PTF011,Portefeuille Conservateur CHF,KELLER - Conserv,2014-05-20,,CLI009,CHF,CONSERV,RM001,MNG_EXT002,,ENT001,BUU001
PTF012,Portefeuille Croissance USD,JOHNSON - Growth,2023-01-09,,CLI010,USD,GROWTH,RM003,,AGN001,ENT001,BUU002
